order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,region,product_id,category,sub_category,product_name,sales,quantity,profit,order_priority
CA-2011-103800,04-01-11,08-01-11,Standard Class,Darren Powers,Consumer,Texas,United States,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16,2,5.5512,High
CA-2011-112326,05-01-11,09-01-11,Standard Class,Phillina Ober,Home Office,Illinois,United States,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273,3,-64.7748,High
CA-2011-112326,05-01-11,09-01-11,Standard Class,Phillina Ober,Home Office,Illinois,United States,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12,3,4.2717,High
CA-2011-112326,05-01-11,09-01-11,Standard Class,Phillina Ober,Home Office,Illinois,United States,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4,2,-5.487,High
CA-2011-141817,06-01-11,13-01-11,Standard Class,Mick Brown,Consumer,Pennsylvania,United States,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20,3,4.884,Low
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"2,574",9,746.4078,High
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610,2,274.491,High
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392,2,113.6742,High
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,204.1092,High
CA-2011-130813,07-01-11,09-01-11,Second Class,Lycoris Saunders,Consumer,California,United States,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,9.3312,High
CA-2011-106054,07-01-11,08-01-11,First Class,Jack O'Briant,Corporate,Georgia,United States,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13,3,5.2398,Critical
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31,4,0.3112,High
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7,1,3.0084,High
CA-2011-167199,07-01-11,11-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5,2,1.4796,High
CA-2011-105417,08-01-11,13-01-11,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77,3,-53.7096,Medium
CA-2011-105417,08-01-11,13-01-11,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10,7,-18.2525,Medium
CA-2011-135405,10-01-11,14-01-11,Standard Class,Melanie Seite,Consumer,Texas,United States,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31,3,9.75,Medium
CA-2011-135405,10-01-11,14-01-11,Standard Class,Melanie Seite,Consumer,Texas,United States,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9,2,1.168,Medium
CA-2011-149020,11-01-11,16-01-11,Standard Class,Anthony Jacobs,Corporate,Virginia,United States,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52,1,21.2954,Medium
CA-2011-149020,11-01-11,16-01-11,Standard Class,Anthony Jacobs,Corporate,Virginia,United States,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,3,1,1.3583,Medium
CA-2011-130092,12-01-11,15-01-11,First Class,Seth Vernon,Consumer,Delaware,United States,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10,2,3.0814,Critical
CA-2011-157147,14-01-11,19-01-11,Standard Class,Brian Dahlen,Consumer,California,United States,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,"1,326",5,238.653,High
CA-2011-162775,14-01-11,16-01-11,Second Class,Chris Selesnick,Corporate,Louisiana,United States,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,573,6,34.3548,Critical
